iterations,test-TotalF1-mean,test-TotalF1-std,train-TotalF1-mean,train-TotalF1-std,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std
0,0.26595572889296565,0.038903028143642396,0.2698146501031918,0.05229385556505708,1.09607720557697,0.0018955451869258429,1.0953617735768506,0.0006289614262430155,,,,
1,0.27642831331568485,0.04208570512985434,0.28855862403550897,0.007282367338322005,1.096434608525092,0.004690705880556752,1.0914970775087443,0.0017901612534568818,,,,
2,0.3157021701456914,0.059829812963855096,0.3307273107859437,0.042378888314597206,1.0934474366746036,0.00796774096880011,1.0858756861339658,0.003372570726139609,,,,
3,0.34547115850766,0.030326218420746814,0.3775512168914224,0.03347884213835184,1.0935608550832556,0.008574548375686246,1.0838975241369335,0.0035660186529633303,,,,
4,0.331071318432547,0.05074937918755414,0.3625988221206965,0.03301677759670692,1.094559978676792,0.008118539031609672,1.0821333506786908,0.003528264360195045,,,,
5,0.355869521025988,0.043504407715389284,0.38844871944373066,0.014885865091980222,1.0951664552233369,0.008531400320933523,1.0804847190569595,0.003578643019700264,,,,
6,0.35292886109907806,0.04061256640486599,0.3863002531877767,0.016714990675840487,1.0962188597484879,0.008272088556305355,1.0799826821603862,0.003394139777165649,,,,
7,0.3520939551412445,0.03959365152450997,0.38487608983413363,0.016418273265655096,1.097436344677455,0.00768263886642382,1.079112165984833,0.002957125650415707,,,,
8,0.34239275544764275,0.03223262934920406,0.38373749063983953,0.01900293313444304,1.098795367342672,0.007016309760217528,1.0787439068693678,0.0028459091145360584,,,,
9,0.3286301715148139,0.03864294079779827,0.38941350356618626,0.011832215851414387,1.0995116375923806,0.00655766107315346,1.0782401626144862,0.0027925908990587365,,,,
10,0.34009692432113514,0.0280620958781819,0.39938568861259516,0.006392170185965315,1.0989172002764502,0.006650954241522551,1.076001592507254,0.002721568863412633,,,,
11,0.35535502447627654,0.03164381044757001,0.4053628859734026,0.01528474753060406,1.0987957107933812,0.007244007312658339,1.074472985768025,0.002813230527637315,,,,
12,0.3584542434198051,0.035145327788534686,0.4041733900541775,0.01810217771689311,1.098586792961283,0.007738574343962502,1.073840201177256,0.002844967291529053,,,,
13,0.35795209334481476,0.03313757368509414,0.40801345973608055,0.01617772139412664,1.0984742894416364,0.008969866151522723,1.0728918648620238,0.003368021599725028,,,,
14,0.3569926896690032,0.03679635244320402,0.4023005873508817,0.013398455667395748,1.0992973055439155,0.009959885431261563,1.0716015767129499,0.0037837331072553735,,,,
